S. No.,Name,Desc,Gender
1597,Pranay,romance,M
1598,Pranet,leader,M
1599,Pranit ,modest,M
1600,Pranjal ,simple,M
1601,Pranjivan ,life,M
1602,Pransukh ,joy of life,M
1603,Prasad,offering to god during pooja,M
1604,Prasanna,"cheerful, pleased",M
1605,Prasata,father of Draupad,M
1606,Prasenjit ,a king in the epics,M
1607,Prasham ,peace,M
1608,Prashant,calm and composed,M
1609,Prashanta ,calm,M
1610,Prasiddhi ,"accomplishment, fame",M
1611,Prasoon,flower,M
1612,Prasun ,blossom,M
1613,Pratap,"dignity, majesty",M
1614,Prateek,"symbol, first word in a sentence",M
1615,Prateep ,"king, Shantanu's father",M
1616,Prateet ,manifested,M
1617,Pratik ,symbol,M
1618,Pratiti ,faith; undrstanding,M
1619,Pratosh,extreme delight,M
1620,Pratul ,plenty,M
1621,Praval ,"fierce, strong",M
1622,Pravar,chief,M
1623,Praveen,expert,M
1624,Praver ,chief,M
1625,Pravir ,brave,M
1626,Prayag,confluence of Ganga-Jamuna-Saraswati,M
1627,Preetish,god of love,M
1628,Prem,love,M
1629,Premal,full of love,M
1630,Premanand,joy of love,M
1631,Premendra ,lover,M
1632,Pritam,lover,M
1633,Prithu,"broad, spacious",M
1634,Prithvi ,earth,M
1635,Prithvijaj,king of the earth,M
1636,Prithviraj ,king of the earth,M
1637,Priya ,beloved,M
1638,Priyabrata ,devoted to pleasing,M
1639,Priyaranjan,beloved,M
1640,Pugal ,"glory, fame",M
1641,Pugalendhi ,"glorious, admirable",M
1642,Pujit ,worshipped,M
1643,Pukhraj ,topaz,M
1644,Pulak ,joy,M
1645,Pulakesh ,joyous,M
1646,Pulastya ,an ancient,M
1647,Pulin ,beautiful,M
1648,Pulish ,name of a sage,M
1649,Pundalik ,lotus,M
1650,Pundarik,white lotus,M
1651,Puneet,pure,M
1652,Punit ,pure,M
1653,Punyabrata ,dedicated to the good,M
1654,Punyasloka ,sacred verse,M
1655,Purandar ,Lord Indra,M
1656,Puranjay ,Lord Shiva,M
1657,Purnanada ,God,M
1658,Purnendu ,full moon,M
1659,Puru ,abundant; name of a king,M
1660,Purujit,conqueror of city,M
1661,Purumitra,friend of city,M
1662,Pururava ,the founder of Chandra dynasty,M
1663,Purushottam,best among men,M
1664,Pushkar ,lotus; a lake,M
1665,Pushpak ,mythical vehicle of Lord Vishnu,M
1666,Puskara,"blue lotus, fountain",M
1667,Pyarelal ,Lord Krishna,M
1668,Pyaremohan ,Lord Krishna,M
1669,Qatadah ,tree with hard wood,M
1670,Quamar ,the moon,M
1671,Quasim ,old generation,M
1672,Qudamah ,courage,M
1673,Qutub ,tall,M
1674,Radhak,liberal,M
1675,Radhakanta ,Lord Krishna,M
1676,Radhakrishna ,Radha and Lord Krishna,M
1677,Radhatanaya,son of Radha,M
1678,Radhavallabh ,Lord Krishna-beloved of Radha,M
1679,Radheshyam ,Lord Krishna,M
1680,Radheya ,Karna,M
1681,Rafat ,elevation,M
1682,Raghav ,Lord Rama,M
1683,Raghavendra ,Lord Rama,M
1684,Raghu ,the family of Lord Rama,M
1685,Raghunandan ,Lord Rama,M
1686,Raghunath ,Lord Rama,M
1687,Raghupati ,Lord Rama,M
1688,Raghuvir ,Lord Rama,M
1689,Rahas ,secret,M
1690,Raheem ,merciful,M
1691,Rahman ,merciful,M
1692,Rahul ,son of Lord Buddha,M
1693,Raivath,wealthy,M
1694,Raj,king,M
1695,Raja ,king,M
1696,Rajak,illuminating,M
1697,Rajam ,Goddess Lakshmi,M
1698,Rajan,king,M
1699,Rajani,night,M
1700,Rajanikant,"sun, lord of night",M
1701,Rajanikanta,moon,M
1702,Rajanya,kingly,M
1703,"Rajarshi, Rajrishi ",king's sage,M
1704,Rajas ,mastery; fame; pride,M
1705,Rajat ,silver,M
1706,Rajatshubhra ,white as silver,M
1707,Rajdulari ,dear princess,M
1708,Rajeev,blue lotus,M
1709,Rajendra ,king,M
1710,Rajendrakumar ,king,M
1711,Rajendramohan ,king,M
1712,Rajesh,god of kings,M
1713,Rajit ,decorated,M
1714,Rajiv,elephant,M
1715,Rajkumar,prince,M
1716,Rajyeshwar ,king,M
1717,Rakesh,"lord of the night, sun",M
1718,Raksha ,"the moon, protection",M
1719,Rakshan,protector,M
1720,Ram,"Lord Rama, pleasing, charming",M
1721,Ramakanta ,Lord Vishnu,M
1722,Raman,"beloved, pleasing",M
1723,Ramanuja,born after Rama i.e. Lakshman,M
1724,Ramashray ,Lord Vishnu; protected by Rama,M
1725,Ramavatar ,reincarnation of Lord Rama,M
1726,Ramchandra ,Lord Rama,M
1727,Ramesh ,Lord Vishnu,M
1728,Rameshwar ,Lord Shiva,M
1729,Ramith,loved,M
1730,Ramkishore ,Lord Rama,M
1731,Ramkrishna ,"Lord Rama, Krishna",M
1732,Ramkumar ,Lord Rama,M
1733,Rammohan ,Lord Rama,M
1734,Ramnath ,Lord Rama,M
1735,Ramprasad ,Lord Rama,M
1736,Rampratap ,Lord Rama,M
1737,Ramratan ,Lord Rama,M
1738,Ramswaroop ,Lord Rama,M
1739,Ranajay ,victorious,M
1740,Ranajit ,victorious,M
1741,Randhir ,brave,M
1742,Rangan ,a flower,M
1743,Ranganath ,Lord Vishnu,M
1744,Rangith,well couloured,M
1745,Ranjan,pleasing,M
1746,Ranjeet,victor in wars,M
1747,Ranjit ,victorious,M
1748,Rasaraj ,mercury,M
1749,Rasbihari ,Lord Krishna,M
1750,Rasesh ,Lord Krishna,M
1751,Rashmil ,silken,M
1752,Rasik ,connoisseur,M
1753,Rasul ,angel,M
1754,Ratan ,precious stone,M
1755,Ratannabha ,Lord Vishnu,M
1756,Rathik,one who rides a chariot,M
1757,Rathin ,celestial,M
1758,Ratish ,cupid,M
1759,Ratnakar,"mine of jewels, sea",M
1760,Ratul ,sweet,M
1761,Ravi,sun,M
1762,Ravikiran,sun ray,M
1763,Ravinandan ,Karna,M
1764,Ravindra,sun,M
1765,Ravishu ,cupid,M
1766,Raza ,hope,M
1767,Razak ,devotee,M
1768,Rebanta ,a son of Surya,M
1769,Rehman ,merciful,M
1770,Rehmat ,mercy,M
1771,Riddhiman ,possessed of good fortune,M
1772,Rijul ,innocent,M
1773,Ripudaman ,killer of enemies,M
1774,Rishabh,morality,M
1775,Rishi,"sage, ray of light",M
1776,Rishikesh ,Lord Vishnu,M
1777,Rituparan ,joyous,M
1778,Rituraj ,spring,M
1779,Ritvik ,priest,M
1780,Riyaz ,practice,M
1781,Rizvan ,harbinger of good news,M
1782,Rochak ,tasty,M
1783,Rochan,"red lotus, bright",M
1784,Rohan ,ascending,M
1785,Rohanlal ,Lord Krishna,M
1786,Rohit,red,M
1787,Rohitasva ,son of King Harishchandra,M
1788,Ronak ,embellishment,M
1789,Roshan ,illumination,M
1790,Ruchir ,beautiful,M
1791,Rudra ,Lord Shiva,M
1792,Rujul,"simple, honest",M
1793,Rukma ,"radiant, sun",M
1794,Rupak,"sign, feature",M
1795,Rupesh,lord of beauty,M
1796,Rupin,embodied beauty,M
1797,Rushil ,charming,M
1798,Rustom ,warrior,M
1799,Rutajit,conquerer of truth,M
1800,Rutujit,conquerer of seasons,M
1801,Sabarinathan,Lord Ayyapa,M
1802,Sabhya,refined,M
1803,Sacchidananda ,total bliss,M
1804,Sachet ,consciousness,M
1805,Sachetan,rational,M
1806,Sachin ,Lord Indra,M
1807,Sachit ,consciousness,M
1808,Sadaiappan,Lord Siva,M
1809,Sadanand,ever joyous,M
1810,Sadashiva ,eternally pure,M
1811,Sadeepan ,lighted up,M
1812,Sadhan,pocessing,M
1813,Sadiq ,kingly,M
1814,Saeed ,priestly,M
1815,Sagar,"sea, ocean",M
1816,Sagun ,possessed of qualities,M
1817,Sahaj ,natural,M
1818,Sahas ,bravery,M
1819,Sahay,help,M
1820,Sahdev ,one of the Pandava princes,M
1821,Sahib ,the lord,M
1822,Sahil ,guide,M
1823,Sainath ,Saibaba,M
1824,Saipraasad ,blessing,M
1825,Saipratap ,blessing of Saibaba,M
1826,Sajal ,moist,M
1827,Sajan ,beloved,M
1828,Saket ,Lord Krishna,M
1829,Salaman ,high,M
1830,Salarjung ,beautiful,M
1831,Saleem ,healthy,M
1832,Salil ,water,M
1833,Salim ,happy; peaceful,M
1834,Samantha,bordering,M
1835,Samar ,war,M
1836,Samarendra ,Lord Vishnu,M
1837,Samarendu ,Lord Vishnu,M
1838,Samarjit,victorious in war,M
1839,Samarth ,powerful,M
1840,Sambaran ,restraint; name of an ancient king,M
1841,Sambhav ,born; manifested,M
1842,Sambhddha ,wise,M
1843,Sambit ,consciousness,M
1844,Sameen ,valuable,M
1845,Sameer ,breeze,M
1846,Samendra ,winner of war,M
1847,Samgram,host,M
1848,Samir,wind,M
1849,Samiran ,breeze,M
1850,Sammath,agreed,M
1851,Sampat ,prosperous,M
1852,Samrat,emperor,M
1853,Samudra,sea,M
1854,Samudragupta ,a famous Gupta king,M
1855,Samudrasen ,lord of the ocean,M
1856,Samvath,prosperous,M
1857,Samyak ,enough,M
1858,Sanabhi ,related,M
1859,Sanam ,beloved,M
1860,Sanat ,Lord Brahma,M
1861,Sanatan ,eternal,M
1862,Sanchay ,collection,M
1863,Sanchit ,collected,M
1864,Sandananda ,eternal bliss,M
1865,Sandeep,a lighted lamp,M
1866,Sandeepan ,a sage,M
1867,Sangupt,percectly hidden,M
1868,Sanjan,creator,M
1869,Sanjay ,Dhritarashtra's charioteer,M
1870,Sanjith,perfectly victorious,M
1871,Sanjiv ,love; life,M
1872,Sanjivan ,immortality,M
1873,Sanjog,coincidence,M
1874,Sankalpa ,resolve,M
1875,Sankara,Shiva,M
1876,Sankarshan ,"a name of Balaram, brother of Lord Krishna",M
1877,Sanket ,signal,M
1878,Sanobar ,palm tree,M
1879,Santosh,happiness,M
1880,Sanwariya ,Lord Krishna,M
1881,Sanyog ,coincidence,M
1882,Sapan,dream (Swapna),M
1883,Saquib ,bright,M
1884,Saral ,straight,M
1885,Sarang,spotted deer,M
1886,Saras ,a bird; lake,M
1887,Sarasija ,lotus,M
1888,Sarasvat,learned,M
1889,Sarat ,a sage,M
1890,Saravanan,Lord Murugan,M
1891,Sarbajit ,one who has conquered everything,M
1892,Sarfaraz ,head held high,M
1893,Saroj ,lotus,M
1894,Sartaj ,crown,M
1895,Sarthak ,well done,M
1896,Sarup ,beautiful,M
1897,Sarvadaman ,son of Shakuntala-Bharat,M
1898,Sarvanavel,Another name for Lord Murugan,M
1899,Sarvesh ,lord of all,M
1900,Sarwar ,promotion,M
1901,Sashreek ,prosperous,M
1902,Satindra ,Lord Vishnu,M
1903,Satish,ruler of hundreds,M
1904,Satrijit ,"father of Satyabhama, wife of Lord Krishna",M
1905,Satvamohan ,truthful,M
1906,Satyajit,victory of truth,M
1907,Satyakam ,son of Jabala in the Mahabharata,M
1908,Satyaki ,charioteer of Krishna,M
1909,Satyamurty,statue of truth,M
1910,Satyanarayan ,Lord Krishna,M
1911,Satyankar ,true; good,M
1912,Satyaprakash ,light of truth,M
1913,Satyapriya ,devoted to truth,M
1914,Satyasheel ,truthful,M
1915,Satyavan ,husband of Savitri; true,M
1916,Satyavrat,one who has taken vow of truth,M
1917,Satyavrata ,dedicated to truth,M
1918,Satyendra,lord of truth (Satyen),M
1919,Saurabh,fragrance,M
1920,Saurav,"divine, celestial",M
1921,Savanth,employer,M
1922,Savar ,Lord Shiva,M
1923,Savitendra ,the sun,M
1924,Sawan ,a Hindu month,M
1925,Sayam ,evening,M
1926,Sayed ,leader,M
1927,Seemanta ,parting line of hair,M
1928,Selvakumaran,prosperous,M
1929,Selvan,prosperous,M
1930,Senajit,victory over army,M
1931,Sendhil,Lord Murugan,M
1932,SendhilNathan,Lord Murugan,M
1933,Sengannan,visionary,M
1934,Senmal,the best,M
1935,Senthamarai,Red Lotus,M
1936,Sevak ,servant,M
1937,Shaan ,pride,M
1938,Shachin,Lord Indra,M
1939,Shadab ,fresh,M
1940,Shaheen ,tender,M
1941,Shahid ,patriot,M
1942,Shailendra,"king of mountains, Himalaya",M
1943,Shailesh,"god of mountain, Himalaya",M
1944,Shaistakhan ,polite,M
1945,Shakib ,patience,M
1946,Shaktidhar ,Lord Shiva,M
1947,Shakunt,blue jay,M
1948,Shakyasinha ,Lord Buddha,M
1949,Shalin,modest,M
1950,Shambhu ,Lord Shiva,M
1951,Shameek ,an ancient sage,M
1952,Shami ,fire,M
1953,Shamindra ,quiet; gentle,M
1954,Shams ,fragrance,M
1955,"Shamshu, Shamshad ",beautiful,M
1956,Shandar ,proud,M
1957,Shankar,Shiva,M
1958,Shankha ,conch,M
1959,"Shanmukha, Shanmuga ","Kartikeya, first son of Lord Shiva",M
1960,Shantanu ,a king from the epic Mahabharata,M
1961,Shantashil ,gentle,M
1962,Shantimay ,peaceful,M
1963,Shantinath ,lord of peace,M
1964,Shantiprakash ,light of peace,M
1965,Shantipriya ,peace-loving,M
1966,Sharad,name of a season,M
1967,"Sharad, Sarat ",autumn,M
1968,Sharadchandra ,autumn moon,M
1969,Sharadindu ,autumn moon,M
1970,Sharan ,shelter,M
1971,Sharang ,deer,M
1972,Shardul,tiger,M
1973,Shariq ,intelligent,M
1974,Shashank,moon,M
1975,Shashanka ,the moon,M
1976,Shashee,moon,M
1977,Shashibhushan ,Lord Shiva,M
1978,Shashidhar ,the moon,M
1979,Shashikant,moon stone,M
1980,Shashikiran ,moon's rays,M
1981,Shashimohan ,the moon,M
1982,Shashishekhar ,Lord Shiva,M
1983,Shashwat,"ever lasting, continuous",M
1984,"Shatrughna, Shatrughan ",victorious,M
1985,Shatrujit ,victorious over enemies,M
1986,Shatrunjay,one who overcomes enemies,M
1987,Shattesh ,king of mountains,M
1988,Shaukat ,grand,M
1989,Shaunak ,a great sage,M
1990,Sheetal ,cool,M
1991,Sheil,mountain,M
1992,Shekhar ,Lord Shiva,M
1993,Shesh ,cosmic serpent,M
1994,Shevantilal ,a crysanthemum,M
1995,Shikha ,flame,M
1996,Shikhar ,peak,M
1997,Shirish ,a flower; raintree,M
1998,Shiromani ,superb jewel,M
1999,Shirshirchandra ,winter moon,M
2000,Shishir,"name of a season, cold",M
2001,Shishirkumar ,the moon,M
2002,Shishupal ,sone of Subhadra,M
2003,Shiv,"Lord Shiva, auspicious, lucky",M
2004,Shivendra ,Lord Shiva,M
2005,Shivendu ,pure moon,M
2006,Shivesh ,Lord Shiva,M
2007,Shivlal ,Lord Shiva,M
2008,Shivraj ,Lord Shiva,M
2009,Shivshankar ,Lord Shiva,M
2010,Shobhan ,splendid,M
2011,Shoorsen ,brave,M
2012,Shravan ,name of a Hindu month,M
2013,Shravankumar ,a character from the epic Ramayana,M
2014,Shrenik ,organised,M
2015,Shreshta ,the best,M
2016,Shreyas,superior,M
2017,Shridhar ,Lord Vishnu,M
2018,Shrigopal ,Lord Krishna,M
2019,Shrihari ,Lord Krishna,M
2020,Shrikanta ,beautiful,M
2021,Shrikrishna ,Lord Krishna,M
2022,Shrikumar ,beautiful,M
2023,Shrinath ,Lord Vishnu,M
2024,Shrinivas ,Lord Vishnu,M
2025,Shripad ,Lord Vishnu,M
2026,Shripal ,Lord Vishnu,M
2027,Shripati ,Lord Vishnu,M
2028,Shriram ,Lord Rama,M
2029,Shriranga ,Lord Vishnu,M
2030,Shrish ,Lord Vishnu,M
2031,Shrivatsa ,Lord Vishnu,M
2032,Shriyans ,wealth,M
2033,Shubha ,auspicious,M
2034,Shubhang ,handsome,M
2035,Shubhankar ,auspivious,M
2036,Shubhashis ,blessing,M
2037,Shubhendu ,luckly moon,M
2038,Shubhranshu ,the moon,M
2039,Shuddhashil ,well-born,M
2040,Shulabh,easy,M
2041,Shvetang,fair complexioned,M
2042,Shvetank,having a white mark,M
2043,Shyam,"dark blue, black",M
2044,Shyamal,"black, dark blue",M
2045,Shyamsundar ,Lord Krishna,M
2046,Siddhanta ,principle,M
2047,Siddharth,white mustard,M
2048,Siddhartha ,a name of Lord Buddha,M
2049,Siddheshwar ,a goddess,M
2050,Singaravelan,Lord Murugan,M
2051,Siraj ,lamp,M
2052,Sitakanta ,Lord Rama,M
2053,Sitanshu ,the moon,M
2054,Sitikantha ,Lord Shiva,M
2055,Sivakumaran,Son of Lord Siva,M
2056,Sivanta ,Lord Shiva,M
2057,Smarajit ,one who has conquered lust,M
2058,Smaran ,remembrance,M
2059,Smritiman ,unforgettable,M
2060,Smyan,smile,M
2061,Snehal,freindly,M
2062,Snehanshn ,affectionate,M
2063,Snehin ,a friend,M
2064,Sohail ,moon-glow,M
2065,Soham ,'Iam He'-the presence of divinity of each soul,M
2066,Sohan,good looking,M
2067,Sohil ,beautiful,M
2068,Som ,the moon,M
2069,Soman,the moon,M
2070,Somansh ,half moon,M
2071,Somendra ,moon,M
2072,Someshwar ,Lord Shiva,M
2073,Somnath ,Lord Shiva,M
2074,Sopan ,steps,M
2075,Soumil ,a friend,M
2076,Soumyakanti ,handsome,M
2077,Sourabh ,fragrance,M
2078,Souren,of the sun,M
2079,Sourish ,Lord Vishnu,M
2080,Sragvibhushan ,Lord Vishnu (who loves tulasi),M
2081,Srijan ,creation,M
2082,Srikant,lover of wealth,M
2083,Srinivas,abode of wealth,M
2084,Sriram,Lord Rama,M
2085,Sual ,asked for,M
2086,Subal ,a friend of Lord Krishna,M
2087,Subash ,fragrance,M
2088,Subbarao ,auspicious,M
2089,Subhan ,aware,M
2090,Subhash,soft spoken,M
2091,Subinay ,humble,M
2092,Subodh,"sound advice, easily understood",M
2093,Subramani,Lord Murugan,M
2094,Subrata ,devoted to what is right,M
2095,Suchir,eternal,M
2096,Sudama,meek,M
2097,Sudarshan,good looking,M
2098,Sudeep ,bright,M
2099,Sudesh ,country,M
2100,Sudesha,good country,M
2101,Sudeva,good Deva,M
2102,Sudhakar,mine of nectar,M
2103,Sudhamay ,full of nectar,M
2104,Sudhan,very rich,M
2105,Sudhanshu ,the moon,M
2106,Sudhanssu,moon,M
2107,Sudhi ,scholar,M
2108,Sudhindra ,lord of knowledge,M
2109,Sudhir,"resolute, brave",M
2110,Sudhish,lord of excellent intellect,M
2111,Sudhith,kind,M
2112,Sudip,very bright,M
2113,Sugata ,a name of the Buddha,M
2114,Sugreev ,man with a beautiful neck,M
2115,Sugriva,one with graceful neck,M
2116,Suhail ,moon-glow,M
2117,Suhas ,smiling beautifully,M
2118,Suhrid ,well-disposed,M
2119,Suhrit ,well-disposed,M
2120,Sujan ,honest,M
2121,Sujash ,illustrious,M
2122,Sujay ,victory,M
2123,Sujit,victory,M
2124,"Sukant, Sukanta ",handsome,M
2125,Sukesh ,with beautiful,M
2126,Suketu ,a Yaksha king,M
2127,Sukhamay ,pleasurable,M
2128,Sukhdev,god of happiness,M
2129,Sukrit ,good deed,M
2130,Sukumar,handsome,M
2131,Sulalit,graceful,M
2132,Sulekh ,beautifully written,M
2133,Sulochan ,one with beautiful eyes,M
2134,Sultan ,king,M
2135,Suman ,flower,M
2136,Sumant ,wise,M
2137,Sumanta ,wise,M
2138,Sumantra ,friend of King Dasarath,M
2139,Sumedh ,clever,M
2140,"Sumeet, Sumit ",a good friend,M
2141,Sumit,well measured,M
2142,Sumitra ,good friend,M
2143,Sunanda ,very pleasing,M
2144,Sunasi ,Lord Indra,M
2145,Sundar,beautiful,M
2146,Sundaravel,Lord Murugan,M
2147,Suneet ,of good principles; prudent,M
2148,Sunil,dark blue,M
2149,Sunirmal ,pure,M
2150,Suparna ,leafy,M
2151,Suprakash ,manifested,M
2152,Supratik ,cupid,M
2153,Supratim ,beautiful image,M
2154,Supriya ,beloved,M
2155,Sur ,a musical note,M
2156,Suraj ,the sun,M
2157,Surajit ,god,M
2158,Suranjan ,pleasing,M
2159,Surdeep ,lamp of music,M
2160,Suren ,Lord Indra,M
2161,Suresh,sun,M
2162,Surya,sun,M
2163,Suryabhan ,the sun,M
2164,Suryakant,loved by the sun,M
2165,Suryakanta ,a jewel,M
2166,Suryashankar ,Lord Shiva,M
2167,Sushanta ,quiet,M
2168,Sushil ,well-behaved,M
2169,Sushobhan ,very beautiful,M
2170,Sushrut ,well- heard,M
2171,Sushruta ,son of sage Viswamitra,M
2172,Sutej ,lustre,M
2173,Sutejas,very bight,M
2174,Suvan ,the sun,M
2175,Suvimal ,pure,M
2176,Suvrata,strict in religious vows (Subrata),M
2177,Suyash ,illustrious,M
2178,Swagat,welcome,M
2179,Swami ,master,M
2180,Swaminath ,the Lord Almighty,M
2181,Swapan ,dream,M
2182,Swapnil,"seen in a dream, dreamy",M
2183,Swaraj,freedom,M
2184,Swarup ,truth,M
2185,Swayambhu ,Lord Shiva,M
2186,Swetaketu ,an ancient sage,M
2187,Syamantak ,a jewel of Lord Vishnu,M
2188,Tahir ,holy,M
2189,Taizeen ,encouragement,M
2190,Taj ,crown,M
2191,Tajdar ,corwned,M
2192,Talat ,prayer,M
2193,Talib ,divine,M
2194,Talleen ,absorbed,M
2195,Tamal ,a tree with very dark bark,M
2196,Tamkinat ,pomp,M
2197,Tamonash ,destroyer of ignorance,M
2198,Tanay ,son,M
2199,Tanmay,engrossed,M
2200,Tanuj ,son,M
2201,Tanveer ,englightened,M
2202,Tapan,"sun, summer",M
2203,Tapas,"heat, penance",M
2204,Tapasendra ,Lord Shiva,M
2205,Tapasranjan ,Lord Vishnu,M
2206,Tapomay ,full of moral virtue,M
2207,Tarachand ,star,M
2208,Tarak,"star, pupil of eye, protector",M
2209,Tarakeshwar ,Lord Shiva,M
2210,Taraknath ,Lord Shiva,M
2211,Taral ,honeybee,M
2212,Taran,"raft, heaven",M
2213,Tarang,wave,M
2214,Taranga ,wave,M
2215,Taraprashad ,star,M
2216,Tarik ,one who crosses the river of life,M
2217,Tariq ,morning star,M
2218,Tarit ,lightning,M
2219,Tarpan,refreshing,M
2220,Tarun,"young, youth",M
2221,Taruntapan ,morning sun,M
2222,Tathagata ,the Buddha,M
2223,Tausiq ,reinforcement,M
2224,Teerth,"holy place, sacred water",M
2225,Teerthankar ,a Jain saint,M
2226,Tej,"light, lustrous",M
2227,Tejas,sharpness,M
2228,Tejeshwar ,the sun,M
2229,Tejomay ,glorious,M
2230,Thakur ,leader; God,M
2231,Thangabalu ,Golden,M
2232,Thangadurai ,golden king,M
2233,Thangamani ,Golden gen,M
2234,Thangarajan ,golden king,M
2235,Thangasami ,golden lord,M
2236,Thangavel ,"Lord Murugan, God",M
2237,Thayanban ,devoted to ones mother,M
2238,Theeran ,brave,M
2239,Thenappan ,kind,M
2240,Thevan ,Godly,M
2241,Thinakaran ,"brilliant like the sun, intelligent",M
2242,Thirugnanam ,"wise, knowledgeable, attained realization",M
2243,Thirumal ,Lord Venkateshwara,M
2244,Thirumalai ,"Abode of Lord Venkateshwara, holy place",M
2245,Thirumani ,precious gem,M
2246,Thiruvalluvar ,"Author of Tamil classic, Thirukural",M
2247,Thooyavan ,"pure, flawless",M
2248,Tilak, spot of vermillion or sandal wood paste on forehead,M
2249,Timin,large fish,M
2250,Timir ,darkness,M
2251,Timirbaran ,dark,M
2252,Tirtha ,holy place,M
2253,Titir ,a bird,M
2254,Toshan ,satisfaction,M
2255,Trailokva ,the three worlds,M
2256,Trambak ,Lord Shiva,M
2257,Tribhuvan ,the tree worlds,M
2258,Tridib ,heaven,M
2259,Trigun ,the three dimensions,M
2260,Trilochan,"one with three eyes, Shiva",M
2261,Trilok,"the three worlds (heaven, earth, hell)",M
2262,Trilokesh ,Lord Shiva,M
2263,Tripurari ,Lord Shiva,M
2264,Trishanku ,a king of the Surya dynasty,M
2265,Trishul ,Shiva's weapon,M
2266,Trivikram ,Lord Vishnu,M
2267,Tufan ,storm,M
2268,Tuhin ,snow,M
2269,Tuhinsurra ,white as snow,M
2270,Tukaram ,a poet saint,M
2271,Tula ,"balance scale, zodiac sign Libra",M
2272,Tulasidas,servant of Tulasi (basil plant),M
2273,Tulsidas ,a famous saint,M
2274,Tungar,"high, lofty",M
2275,Tungesh,moon,M
2276,Turanyu,swift,M
2277,Tushar,fine drops of water,M
2278,Tusharkanti ,Lord Shiva,M
2279,Tusharsuvra ,white as snow,M
2280,Tyagraja ,a famous poet,M
2281,Udar ,generous,M
2282,Uday,to rise,M
2283,Udayachal ,eastern horizon,M
2284,Udayan ,rising; name of king of Avanti,M
2285,Udayasooriyan ,rising sun,M
2286,Uddhar ,liberation,M
2287,Uddhav ,Lord Krishna's friend,M
2288,Udeep,flood,M
2289,Udit,"grown, awakened, shining",M
2290,Udyam ,effort,M
2291,Udyan ,garden,M
2292,Ujagar ,bright,M
2293,Ujala ,bright,M
2294,Ujesh,one who gives light,M
2295,"Ujwal, Ujjala ",bright,M
2296,Ulagan ,wordly,M
2297,Ulagappan ,creator of the world,M
2298,Ulhas,"joy, delight",M
2299,Umanand ,Lord Shiva,M
2300,"Umanant, Umakant ",Lord Shiva,M
2301,Umang,enthusiasm,M
2302,Umaprasad ,blessing of Goddess Parvati,M
2303,Umashankar ,Lord Shiva,M
2304,Umed ,hope,M
2305,Umesh ,Lord Shiva,M
2306,Umrao ,noble,M
2307,Unmaivilambi ,honest,M
2308,Unmesh,"flash, blowing, opening",M
2309,Unnat ,energized,M
2310,Upagupta ,name of a Buddhist monk,M
2311,Upamanyu ,name of a devoted pupil,M
2312,Upendra,an element,M
2313,Urjita ,energized,M
2314,Ushakanta ,the sun,M
2315,Utanka ,a disciple of sage Veda,M
2316,Utkarsh,"prosperity, awakening",M
2317,Utkarsha ,advancement,M
2318,Utpal,"water lily, fleshless",M
2319,Utsav ,celebration,M
2320,Uttal ,"strong, formidable",M
2321,Uttam,best,M
2322,Uttar ,son of king Virata,M
2323,Uttiya ,a name in Buddhist literature,M
2324,Vachan ,speech,M
2325,Vachaspati,lord of speech,M
2326,Vaibhav,richness,M
2327,Vaijnath ,Lord Shiva,M
2328,Vaikunth ,"Vaikuntam, the abode of Lord Vishnu",M
2329,Vajra ,Lord Krishna's greatgrandson; diamond,M
2330,Vajradhar ,Lord Indra,M
2331,Vajramani,diamond,M
2332,Vajrapani ,Lord Indra,M
2333,Valavan ,skillful,M
2334,Vallabh,"beloved, dear",M
2335,"Valmiki, Valmik ",the author of the epic Ramayana,M
2336,Vaman ,fifth incarnation of Lord Vishnu,M
2337,Vanajit ,lord of the forest,M
2338,Vandan,salutation,M
2339,Vaninath,Husband of Saraswati,M
2340,Vardhaman ,Lord Mahavir,M
2341,Varij ,lotus,M
2342,Varindra ,lord of the ocean,M
2343,Varun,"lord of the waters, neptune",M
2344,Vasant,VasanSpring (season),M
2345,Vasava,Indra,M
2346,Vasistha ,name of a sage,M
2347,Vasu,wealth,M
2348,Vasudev,"Krishna's father, god of wealth",M
2349,Vasuman,born of fire,M
2350,Vatsal ,affectionate,M
2351,Ved,sacred knowledge,M
2352,Vedanga ,meaning of Vedas,M
2353,Vedavrata ,vow of the Vedas,M
2354,Vedmohan ,Lord Krishna,M
2355,Vedprakash ,light of the Vedas,M
2356,Veer,brave,M
2357,Veera ,the brave,M
2358,Velan ,another name for Lord Murugan,M
2359,Vendan ,king,M
2360,Vengai ,brave,M
2361,Veni ,Lord Krishna,M
2362,Venimadhav ,Lord Krishna,M
2363,Vetrival ,successful,M
2364,Vibhas ,decoration; light,M
2365,Vibhat ,dawn,M
2366,Vibhishan ,a character from the epic Ramayana,M
2367,Vibhu ,all-pervading,M
2368,Vidur,wise,M
2369,Vidyacharan,learned,M
2370,Vidyadhar,demi god,M
2371,Vidyaranya,forest of knowledge,M
2372,Vidyasagar ,ocean of learning,M
2373,Vidyut ,lightning,M
2374,"Vighnesh, Vignesh ",Lord Ganesh,M
2375,Vihanga ,bird,M
2376,Vijay,victory,M
2377,"Vijendra, Vijanyendra ",victorious,M
2378,Vikas,"development, expanding",M
2379,Vikesh ,the moon,M
2380,Vikram,the sun of valour,M
